AP,Portada,Categoría,Región,Periodo,Mes,Año,Acceso,ext,nacmay,rprov,rloc,est,jp,men,total,nactotal
Ciervo de los Pantanos,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,29,88,344,147,0,8,141,757,728
El Leoncito,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,191,1462,1776,342,0,0,0,3771,3580
El Palmar,Única,PN,CENTRO,2017m1,1,2017,COBRA,81,10133,4303,1219,701,1925,7766,26128,26047
Iberá,Cambyretá,PN,CENTRO,2017m1,1,2017,NO COBRA,41,884,0,0,0,0,0,925,884
Iberá,San Nicolás,PN,CENTRO,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,6,276,293,64,18,0,217,874,868
Pre Delta,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,43,1345,1664,1603,38,86,1218,5997,5954
Quebrada del Condorito,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,428,2066,784,109,0,0,0,3387,2959
San Guillermo,Única,PN,CENTRO,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2017m1,1,2017,COBRA,137,2156,129,0,189,204,859,3674,3537
Talampaya,Única,PN,CENTRO,2017m1,1,2017,COBRA,762,4034,117,0,225,536,1265,6939,6177
Chaco,Única,PN,NEA,2017m1,1,2017,NO COBRA,38,187,202,162,0,6,339,934,896
Colonia Benítez,Única,RNEd,NEA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m1,1,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Iguazú,Única,PN,NEA,2017m1,1,2017,COBRA,109550,152032,12108,6218,0,24283,30445,334636,225086
Río Pilcomayo,Estero Poi,PN,NEA,2017m1,1,2017,NO COBRA,12,18,17,4,0,0,21,72,60
